GEO_ID,NAME,MedianIncome
310M500US10140,"Aberdeen, WA Micro Area",61026
310M500US10180,"Abilene, TX Metro Area",54808
310M500US10300,"Adrian, MI Micro Area",53865
310M500US10380,"Aguadilla-Isabela, PR Metro Area",16311
310M500US10420,"Akron, OH Metro Area",57158
310M500US10460,"Alamogordo, NM Micro Area",39371
310M500US10500,"Albany, GA Metro Area",40625
310M500US10540,"Albany-Lebanon, OR Metro Area",61488
310M500US10580,"Albany-Schenectady-Troy, NY Metro Area",73398
310M500US10700,"Albertville, AL Micro Area",49467
310M500US10740,"Albuquerque, NM Metro Area",58512
310M500US10780,"Alexandria, LA Metro Area",50553
310M500US10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",70793
310M500US11020,"Altoona, PA Metro Area",51004
310M500US11100,"Amarillo, TX Metro Area",53510
310M500US11180,"Ames, IA Metro Area",62181
310M500US11260,"Anchorage, AK Metro Area",80676
310M500US11460,"Ann Arbor, MI Metro Area",76576
310M500US11500,"Anniston-Oxford, AL Metro Area",48156
310M500US11540,"Appleton, WI Metro Area",68335
310M500US11640,"Arecibo, PR Metro Area",19163
310M500US11700,"Asheville, NC Metro Area",57428
310M500US11780,"Ashtabula, OH Micro Area",44580
310M500US11900,"Athens, OH Micro Area",41851
310M500US11980,"Athens, TX Micro Area",51521
310M500US12020,"Athens-Clarke County, GA Metro Area",50962
310M500US12060,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",71742
310M500US12100,"Atlantic City-Hammonton, NJ Metro Area",63389
310M500US12180,"Auburn, NY Micro Area",58665
310M500US12220,"Auburn-Opelika, AL Metro Area",53712
310M500US12260,"Augusta-Richmond County, GA-SC Metro Area",55143
310M500US12300,"Augusta-Waterville, ME Micro Area",55389
310M500US12420,"Austin-Round Rock-Georgetown, TX Metro Area",80954
310M500US12540,"Bakersfield, CA Metro Area",53067
310M500US12580,"Baltimore-Columbia-Towson, MD Metro Area",83160
310M500US12620,"Bangor, ME Metro Area",50449
310M500US12700,"Barnstable Town, MA Metro Area",85042
310M500US12940,"Baton Rouge, LA Metro Area",60746
310M500US12980,"Battle Creek, MI Metro Area",49055
310M500US13020,"Bay City, MI Metro Area",49610
310M500US13140,"Beaumont-Port Arthur, TX Metro Area",58818
310M500US13180,"Beaver Dam, WI Micro Area",61300
310M500US13220,"Beckley, WV Metro Area",44785
310M500US13380,"Bellingham, WA Metro Area",69372
310M500US13460,"Bend, OR Metro Area",71643
