GEO_ID,NAME,StateName,Household_Median_Income
0400000US01,Alabama,AL,51734
0400000US02,Alaska,AK,75463
0400000US04,Arizona,AZ,62055
0400000US05,Arkansas,AR,48952
0400000US06,California,CA,80440
0400000US08,Colorado,CO,77127
0400000US09,Connecticut,CT,78833
0400000US10,Delaware,DE,70176
0400000US11,District of Columbia,DC,92266
0400000US12,Florida,FL,59227
0400000US13,Georgia,GA,61980
0400000US15,Hawaii,HI,83102
0400000US16,Idaho,ID,60999
0400000US17,Illinois,IL,69187
0400000US18,Indiana,IN,57603
0400000US19,Iowa,IA,61691
0400000US20,Kansas,KS,62087
0400000US21,Kentucky,KY,52295
0400000US22,Louisiana,LA,51073
0400000US23,Maine,ME,58924
0400000US24,Maryland,MD,86738
0400000US25,Massachusetts,MA,85843
0400000US26,Michigan,MI,59584
0400000US27,Minnesota,MN,74593
0400000US28,Mississippi,MS,45792
0400000US29,Missouri,MO,57409
0400000US30,Montana,MT,57153
0400000US31,Nebraska,NE,63229
0400000US32,Nevada,NV,63276
0400000US33,New Hampshire,NH,77933
0400000US34,New Jersey,NJ,85751
0400000US35,New Mexico,NM,51945
0400000US36,New York,NY,72108
0400000US37,North Carolina,NC,57341
0400000US38,North Dakota,ND,64577
0400000US39,Ohio,OH,58642
0400000US40,Oklahoma,OK,54449
0400000US41,Oregon,OR,67058
0400000US42,Pennsylvania,PA,63463
0400000US44,Rhode Island,RI,71169
0400000US45,South Carolina,SC,56227
0400000US46,South Dakota,SD,59533
0400000US47,Tennessee,TN,56071
0400000US48,Texas,TX,64034
0400000US49,Utah,UT,75780
0400000US50,Vermont,VT,63001
0400000US51,Virginia,VA,76456
0400000US53,Washington,WA,78687
0400000US54,West Virginia,WV,48850
0400000US55,Wisconsin,WI,64168
0400000US56,Wyoming,WY,65003
0400000US72,Puerto Rico,PR,20474
