GEO_ID,NAME,HIGHSCHOOL_OR_ABOVE
0500000US01003,"Baldwin County, Alabama",90.5
0500000US01015,"Calhoun County, Alabama",84.6
0500000US01043,"Cullman County, Alabama",81.3
0500000US01049,"DeKalb County, Alabama",78.6
0500000US01051,"Elmore County, Alabama",89.7
0500000US01055,"Etowah County, Alabama",84.1
0500000US01069,"Houston County, Alabama",85
0500000US01073,"Jefferson County, Alabama",91.2
0500000US01077,"Lauderdale County, Alabama",85
0500000US01081,"Lee County, Alabama",92
0500000US01083,"Limestone County, Alabama",87.4
0500000US01089,"Madison County, Alabama",92.9
0500000US01095,"Marshall County, Alabama",82.1
0500000US01097,"Mobile County, Alabama",87.5
0500000US01101,"Montgomery County, Alabama",89.5
0500000US01103,"Morgan County, Alabama",85.9
0500000US01115,"St. Clair County, Alabama",85.6
0500000US01117,"Shelby County, Alabama",93.5
0500000US01121,"Talladega County, Alabama",80.3
0500000US01125,"Tuscaloosa County, Alabama",89.1
0500000US01127,"Walker County, Alabama",82.3
0500000US02020,"Anchorage Municipality, Alaska",95.1
0500000US02090,"Fairbanks North Star Borough, Alaska",95.7
0500000US02170,"Matanuska-Susitna Borough, Alaska",94
0500000US04001,"Apache County, Arizona",81.7
0500000US04003,"Cochise County, Arizona",88.6
0500000US04005,"Coconino County, Arizona",93.5
0500000US04013,"Maricopa County, Arizona",88.1
0500000US04015,"Mohave County, Arizona",87
0500000US04017,"Navajo County, Arizona",83.5
0500000US04019,"Pima County, Arizona",88.1
0500000US04021,"Pinal County, Arizona",86.8
0500000US04025,"Yavapai County, Arizona",91.8
0500000US04027,"Yuma County, Arizona",74.2
0500000US05007,"Benton County, Arkansas",89.5
0500000US05031,"Craighead County, Arkansas",89.4
0500000US05045,"Faulkner County, Arkansas",93.8
0500000US05051,"Garland County, Arkansas",91.3
0500000US05069,"Jefferson County, Arkansas",86.8
0500000US05085,"Lonoke County, Arkansas",89.1
0500000US05119,"Pulaski County, Arkansas",91.6
0500000US05125,"Saline County, Arkansas",89.6
0500000US05131,"Sebastian County, Arkansas",84.5
0500000US05143,"Washington County, Arkansas",84.3
0500000US05145,"White County, Arkansas",81.4
0500000US06001,"Alameda County, California",89.6
0500000US06007,"Butte County, California",88.4
0500000US06013,"Contra Costa County, California",89.1
0500000US06017,"El Dorado County, California",92.9
0500000US06019,"Fresno County, California",76.6
0500000US06023,"Humboldt County, California",90.8
0500000US06025,"Imperial County, California",71.7
0500000US06029,"Kern County, California",76.3
0500000US06031,"Kings County, California",71.5
0500000US06033,"Lake County, California",85.9
0500000US06037,"Los Angeles County, California",79.8
0500000US06039,"Madera County, California",72.9
0500000US06041,"Marin County, California",92.5
0500000US06045,"Mendocino County, California",83.6
0500000US06047,"Merced County, California",69.1
0500000US06053,"Monterey County, California",72.1
0500000US06055,"Napa County, California",85.5
0500000US06057,"Nevada County, California",95.3
0500000US06059,"Orange County, California",86.1
0500000US06061,"Placer County, California",94.1
0500000US06065,"Riverside County, California",83.1
0500000US06067,"Sacramento County, California",88.9
0500000US06071,"San Bernardino County, California",80.7
0500000US06073,"San Diego County, California",88.1
0500000US06075,"San Francisco County, California",88.4
0500000US06077,"San Joaquin County, California",79.6
0500000US06079,"San Luis Obispo County, California",90.8
0500000US06081,"San Mateo County, California",90.6
0500000US06083,"Santa Barbara County, California",81.3
0500000US06085,"Santa Clara County, California",89
0500000US06087,"Santa Cruz County, California",87.5
0500000US06089,"Shasta County, California",93.3
0500000US06095,"Solano County, California",89.2
0500000US06097,"Sonoma County, California",89.7
0500000US06099,"Stanislaus County, California",80.3
