GEO_ID,NAME,PERCENT_BELOW_POVERTY
0500000US01003,"Baldwin County, Alabama",10.1
0500000US01015,"Calhoun County, Alabama",17.3
0500000US01043,"Cullman County, Alabama",10.6
0500000US01049,"DeKalb County, Alabama",19.6
0500000US01051,"Elmore County, Alabama",11.6
0500000US01055,"Etowah County, Alabama",19.7
0500000US01069,"Houston County, Alabama",20.5
0500000US01073,"Jefferson County, Alabama",16.3
0500000US01077,"Lauderdale County, Alabama",16.4
0500000US01081,"Lee County, Alabama",15.8
0500000US01083,"Limestone County, Alabama",14
0500000US01089,"Madison County, Alabama",11.8
0500000US01095,"Marshall County, Alabama",16.1
0500000US01097,"Mobile County, Alabama",17.4
0500000US01101,"Montgomery County, Alabama",14.6
0500000US01103,"Morgan County, Alabama",14.1
0500000US01115,"St. Clair County, Alabama",9.7
0500000US01117,"Shelby County, Alabama",5.6
0500000US01121,"Talladega County, Alabama",17
0500000US01125,"Tuscaloosa County, Alabama",16.3
0500000US01127,"Walker County, Alabama",17.7
0500000US02020,"Anchorage Municipality, Alaska",10.1
0500000US02090,"Fairbanks North Star Borough, Alaska",5.9
0500000US02170,"Matanuska-Susitna Borough, Alaska",9.9
0500000US04001,"Apache County, Arizona",34.6
0500000US04003,"Cochise County, Arizona",16.3
0500000US04005,"Coconino County, Arizona",15.8
0500000US04013,"Maricopa County, Arizona",12.1
0500000US04015,"Mohave County, Arizona",15.7
0500000US04017,"Navajo County, Arizona",25.6
0500000US04019,"Pima County, Arizona",13.8
0500000US04021,"Pinal County, Arizona",11.9
0500000US04025,"Yavapai County, Arizona",12
0500000US04027,"Yuma County, Arizona",21.4
0500000US05007,"Benton County, Arkansas",9.1
0500000US05031,"Craighead County, Arkansas",17.7
0500000US05045,"Faulkner County, Arkansas",16.3
0500000US05051,"Garland County, Arkansas",17.4
0500000US05069,"Jefferson County, Arkansas",24.7
0500000US05085,"Lonoke County, Arkansas",11.1
0500000US05119,"Pulaski County, Arkansas",14.3
0500000US05125,"Saline County, Arkansas",10.9
0500000US05131,"Sebastian County, Arkansas",16.1
0500000US05143,"Washington County, Arkansas",16.6
0500000US05145,"White County, Arkansas",15.3
0500000US06001,"Alameda County, California",8.9
0500000US06007,"Butte County, California",15.9
0500000US06013,"Contra Costa County, California",7.9
0500000US06017,"El Dorado County, California",9.3
0500000US06019,"Fresno County, California",20.6
0500000US06023,"Humboldt County, California",19.6
0500000US06025,"Imperial County, California",25.1
0500000US06029,"Kern County, California",19.1
0500000US06031,"Kings County, California",15.2
0500000US06033,"Lake County, California",18.9
0500000US06037,"Los Angeles County, California",13.4
0500000US06039,"Madera County, California",17.6
0500000US06041,"Marin County, California",6.7
0500000US06045,"Mendocino County, California",13.2
0500000US06047,"Merced County, California",16.8
0500000US06053,"Monterey County, California",12.7
0500000US06055,"Napa County, California",6.8
0500000US06057,"Nevada County, California",8.4
0500000US06059,"Orange County, California",9.4
0500000US06061,"Placer County, California",7.1
0500000US06065,"Riverside County, California",11.3
0500000US06067,"Sacramento County, California",12.6
0500000US06071,"San Bernardino County, California",13.3
0500000US06073,"San Diego County, California",10.3
0500000US06075,"San Francisco County, California",9.5
0500000US06077,"San Joaquin County, California",13.7
0500000US06079,"San Luis Obispo County, California",11.9
0500000US06081,"San Mateo County, California",6
0500000US06083,"Santa Barbara County, California",12
0500000US06085,"Santa Clara County, California",6.1
0500000US06087,"Santa Cruz County, California",10.1
0500000US06089,"Shasta County, California",12.6
0500000US06095,"Solano County, California",8.9
0500000US06097,"Sonoma County, California",6.8
0500000US06099,"Stanislaus County, California",12.7
0500000US06101,"Sutter County, California",12.4
0500000US06103,"Tehama County, California",18.3
0500000US06107,"Tulare County, California",18.8
0500000US06111,"Ventura County, California",7.9
0500000US06113,"Yolo County, California",18.1
0500000US06115,"Yuba County, California",14.7
0500000US08001,"Adams County, Colorado",8.9
0500000US08005,"Arapahoe County, Colorado",6.9
0500000US08013,"Boulder County, Colorado",10.9
0500000US08014,"Broomfield County, Colorado",3.5
0500000US08031,"Denver County, Colorado",11.7
0500000US08035,"Douglas County, Colorado",2.5
0500000US08041,"El Paso County, Colorado",8.5
0500000US08059,"Jefferson County, Colorado",7.1
0500000US08069,"Larimer County, Colorado",11.3
0500000US08077,"Mesa County, Colorado",10.7
0500000US08101,"Pueblo County, Colorado",17.9
0500000US08123,"Weld County, Colorado",7.9
0500000US09001,"Fairfield County, Connecticut",9.1
0500000US09003,"Hartford County, Connecticut",10.9
0500000US09005,"Litchfield County, Connecticut",7.3
0500000US09007,"Middlesex County, Connecticut",7.3
0500000US09009,"New Haven County, Connecticut",12.2
0500000US09011,"New London County, Connecticut",7.2
0500000US09013,"Tolland County, Connecticut",8.3
0500000US09015,"Windham County, Connecticut",12.3
0500000US10001,"Kent County, Delaware",13
0500000US10003,"New Castle County, Delaware",10.1
0500000US10005,"Sussex County, Delaware",12.6
0500000US11001,"District of Columbia, District of Columbia",13.5
0500000US12001,"Alachua County, Florida",18.6
0500000US12005,"Bay County, Florida",10.3
0500000US12009,"Brevard County, Florida",8.7
0500000US12011,"Broward County, Florida",12.2
0500000US12015,"Charlotte County, Florida",12
0500000US12017,"Citrus County, Florida",15.7
0500000US12019,"Clay County, Florida",8.5
0500000US12021,"Collier County, Florida",9.3
0500000US12023,"Columbia County, Florida",14.1
0500000US12031,"Duval County, Florida",13.6
0500000US12033,"Escambia County, Florida",15.3
0500000US12035,"Flagler County, Florida",10.4
0500000US12053,"Hernando County, Florida",12.3
0500000US12055,"Highlands County, Florida",14.4
