GEO_ID,NAME,HispanicLatino,White,BlackAfricanAmerican,AmericanIndianAlaskaNative,Asian,HawaiinPacificIslander,SomeOtherRace,DP05_0084PE,TwoOrMoreRacesExcludingSomeOtherRace
310M500US10140,"Aberdeen, WA Micro Area",10.3,78.9,2.5,3.4,1.3,0.1,0.1,0,3.4
310M500US10180,"Abilene, TX Metro Area",25.1,62.8,8.4,0.1,1.7,0,0.2,0,1.7
310M500US10300,"Adrian, MI Micro Area",8.2,86.4,1.9,0.3,0.4,0,0.1,0,2.7
310M500US10380,"Aguadilla-Isabela, PR Metro Area",95.2,N,N,N,N,N,N,N,N
310M500US10420,"Akron, OH Metro Area",2.2,79.1,12.3,0.1,3,0,0.3,0.1,2.8
310M500US10460,"Alamogordo, NM Micro Area",38.6,48.2,3.4,6.7,0.7,0,0.3,0.1,2.1
310M500US10500,"Albany, GA Metro Area",2.8,39.9,54.6,0.7,1.5,0,0.1,0,0.4
310M500US10540,"Albany-Lebanon, OR Metro Area",9.5,84.1,0.5,0.9,0.9,0.2,0.3,0,3.6
310M500US10580,"Albany-Schenectady-Troy, NY Metro Area",5.4,79,7.2,0,4.5,0,0.4,0.2,3.3
310M500US10700,"Albertville, AL Micro Area",14.7,79.6,3.9,0.1,0.6,0,0.2,0,0.8
310M500US10740,"Albuquerque, NM Metro Area",49.5,38.4,2.4,5.2,2.3,0,0.2,0.1,1.9
310M500US10780,"Alexandria, LA Metro Area",4,63.3,28.6,0.2,1.1,0,0.1,0.1,2.7
310M500US10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",18.3,71.3,5.2,0.2,2.8,0,0.4,0.2,1.6
310M500US11020,"Altoona, PA Metro Area",1.3,94.5,1.6,0.4,0.2,0.1,0,0,1.8
310M500US11100,"Amarillo, TX Metro Area",29.2,59.4,5.8,0.6,3.6,0.1,0,0,1.3
310M500US11180,"Ames, IA Metro Area",3.9,85.8,2.5,0.2,5.3,0,0,0.1,2.1
310M500US11260,"Anchorage, AK Metro Area",8.2,62.9,4.1,8.3,6.9,2.1,0.1,0.1,7.3
310M500US11460,"Ann Arbor, MI Metro Area",4.9,69.8,11.9,0.4,9,0,0.3,0.1,3.6
310M500US11500,"Anniston-Oxford, AL Metro Area",4.1,N,N,N,N,N,N,N,N
310M500US11540,"Appleton, WI Metro Area",4.6,87.8,1.3,1.1,3.2,0.1,0,0.1,1.8
310M500US11640,"Arecibo, PR Metro Area",98.3,N,N,N,N,N,N,N,N
310M500US11700,"Asheville, NC Metro Area",7.1,84.9,4.7,0.4,1.1,0,0.1,0,1.7
310M500US11780,"Ashtabula, OH Micro Area",4.4,N,N,N,N,N,N,N,N
310M500US11900,"Athens, OH Micro Area",1.9,89.7,2.9,0.9,2.7,0,0,0,1.9
310M500US11980,"Athens, TX Micro Area",13.6,77.4,4.6,1,2.1,0,0,0,1.2
310M500US12020,"Athens-Clarke County, GA Metro Area",8.3,65.1,20.9,0,3.4,0,0.2,0,1.9
310M500US12060,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",11,45.9,34.2,0.2,6.1,0.1,0.4,0.1,2.1
310M500US12100,"Atlantic City-Hammonton, NJ Metro Area",19.4,55.9,13.7,0.2,7.8,0.2,0.1,0.2,2.4
310M500US12180,"Auburn, NY Micro Area",3.1,89.8,3.3,0,0.8,0,0.1,0,2.7
310M500US12220,"Auburn-Opelika, AL Metro Area",3.7,67.7,22.7,0.4,4.1,0,0,0,1.5
310M500US12260,"Augusta-Richmond County, GA-SC Metro Area",5.7,53.7,34.9,0.1,1.5,0,0.6,0.3,3.1
310M500US12300,"Augusta-Waterville, ME Micro Area",1.7,94.4,1.4,0.1,0.5,0,0,0,1.9
310M500US12420,"Austin-Round Rock-Georgetown, TX Metro Area",32.6,51.6,6.9,0.2,6,0,0.1,0,2.5
310M500US12540,"Bakersfield, CA Metro Area",54.6,32.8,5,0.5,4.6,0.1,0,0.3,2.2
310M500US12580,"Baltimore-Columbia-Towson, MD Metro Area",6.3,55.5,29.3,0.2,5.7,0,0.3,0.1,2.7
310M500US12620,"Bangor, ME Metro Area",1.5,92.8,0.9,1.4,1.1,0,0.6,0,1.7
310M500US12700,"Barnstable Town, MA Metro Area",3.4,88.7,3.1,0.7,1.1,0,0.9,0.1,2.1
310M500US12940,"Baton Rouge, LA Metro Area",4.2,56.4,36,0.1,2,0,0.1,0.1,1.1
310M500US12980,"Battle Creek, MI Metro Area",5.5,76.8,10.6,0.2,2.8,0,0.2,0.1,3.8
310M500US13020,"Bay City, MI Metro Area",5.5,89.7,1.7,0.2,0.4,0,0,0.1,2.4
310M500US13140,"Beaumont-Port Arthur, TX Metro Area",16.8,54.8,24.4,0.3,2.6,0.2,0,0.1,0.8
310M500US13180,"Beaver Dam, WI Micro Area",5,89.6,3,0.5,0.5,0.1,0,0,1.3
310M500US13220,"Beckley, WV Metro Area",1.6,N,N,N,N,N,N,N,N
310M500US13380,"Bellingham, WA Metro Area",9.8,78.1,0.8,2.2,3.8,0.3,0,0.4,4.5
310M500US13460,"Bend, OR Metro Area",8.3,86.5,0.5,1.4,1.4,0.2,0.1,0.3,1.5
310M500US13740,"Billings, MT Metro Area",5.6,86.7,0.2,4,0.7,0,0.2,0.4,2.1
310M500US13780,"Binghamton, NY Metro Area",4,85,3.6,0.1,4,0,0,0,3.1
310M500US13820,"Birmingham-Hoover, AL Metro Area",4.5,61.6,30.6,0.2,1.5,0,0.2,0,1.3
310M500US13900,"Bismarck, ND Metro Area",2.8,88.2,2.5,3,0.8,0.1,0,0,2.5
310M500US13980,"Blacksburg-Christiansburg, VA Metro Area",2.8,85.7,5.7,0.4,3.8,0.2,0,0.1,1.4
310M500US14010,"Bloomington, IL Metro Area",5.2,79.2,8.1,0.1,5,0.1,0,0,2.3
310M500US14020,"Bloomington, IN Metro Area",3.1,84.8,2.9,0.1,6.4,0,0.1,0,2.5
310M500US14100,"Bloomsburg-Berwick, PA Metro Area",3,92.4,1.2,0.1,2.8,0,0.1,0,0.5
310M500US14140,"Bluefield, WV-VA Micro Area",0.8,91.5,5.7,0.1,0.7,0,0.1,0,1.1
310M500US14260,"Boise City, ID Metro Area",14,79.5,1,0.5,1.8,0.1,0.2,0,2.8
310M500US14460,"Boston-Cambridge-Newton, MA-NH Metro Area",11.7,69.2,7.8,0.2,8.2,0,0.8,0.2,2
310M500US14500,"Boulder, CO Metro Area",14,77.1,1.1,0.3,4.9,0,0.2,0.3,2.1
310M500US14540,"Bowling Green, KY Metro Area",5.1,81.7,6.8,0.4,3.3,0.2,0.1,0,2.4
310M500US14580,"Bozeman, MT Micro Area",4,91,0.9,1,1,0,0.3,0,1.8
310M500US14660,"Brainerd, MN Micro Area",1.8,91,0.8,4,0.5,0,0,0.1,1.9
310M500US14740,"Bremerton-Silverdale-Port Orchard, WA Metro Area",8.2,75.8,2.8,1,4.9,1,0.1,0.1,6.1
310M500US14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",20.5,60.5,11.1,0,5.3,0.1,0.4,0.3,1.7
