GEO_ID,NAME,HISPANIC_OR_LATINO_OF_ANY_RACE,WHITE_ALONE_NOT_HISPANIC,BLACK_OR_AFRICAN_AMERICAN_ALONE_NOT_HISPANIC,AMERICAN_INDIAN_OR_ALASKAN_NATIVE_ALONE_NOT_HISPANIC,ASIAN_ALONE_NOT_HISPANIC,NATIVE_HAWAIIAN_OR_PACIFIC_ISLANDER_ALONE_NOT_HISPANIC,SOME_OTHER_RACE_ALONE_NOT_HISPANIC,TWO_RACES_INCLUDING_SOME_OTHER_RACE_NOT_HISPANIC,TWO_OR_MORE_RACES_TWO_RACES_EXCLUDING_SOME_OTHER_RACE_AND_THREE_OR_MORE_RACES_NOT_HISPANIC,
0500000US01003,"Baldwin County, Alabama",4.7,83,8.2,0.8,1,0,0.3,0,2.1,100.1
0500000US01015,"Calhoun County, Alabama",4.1,N,N,N,N,N,N,N,N,4.1
0500000US01043,"Cullman County, Alabama",4.5,N,N,N,N,N,N,N,N,4.5
0500000US01049,"DeKalb County, Alabama",15.1,N,N,N,N,N,N,N,N,15.1
0500000US01051,"Elmore County, Alabama",3.2,72.9,21.9,0.3,1.1,0,0.1,0.1,0.5,100.1
0500000US01055,"Etowah County, Alabama",4.1,77.3,15.7,0.3,0.8,0,0.2,0,1.7,100.1
0500000US01069,"Houston County, Alabama",3.4,64.7,28,0.1,0.9,0,1.4,0,1.5,100
0500000US01073,"Jefferson County, Alabama",4.1,49.4,43.1,0.2,1.7,0,0.3,0,1.2,100
0500000US01077,"Lauderdale County, Alabama",2.9,N,N,N,N,N,N,N,N,2.9
0500000US01081,"Lee County, Alabama",3.7,67.7,22.7,0.4,4.1,0,0,0,1.5,100.1
0500000US01083,"Limestone County, Alabama",6.2,75.8,13.7,0.3,1.7,0.1,0.3,0,1.9,100
0500000US01089,"Madison County, Alabama",5.2,64.3,24.4,0.6,2.8,0,0.2,0.1,2.4,100
0500000US01095,"Marshall County, Alabama",14.7,79.6,3.9,0.1,0.6,0,0.2,0,0.8,99.9
0500000US01097,"Mobile County, Alabama",3,56.4,36,0.7,1.8,0,0.1,0.1,1.9,100
0500000US01101,"Montgomery County, Alabama",3.7,32.6,58.2,0.3,3.2,0,0.2,0.2,1.7,100.1
0500000US01103,"Morgan County, Alabama",8.7,N,N,N,N,N,N,N,N,8.7
0500000US01115,"St. Clair County, Alabama",0.7,N,N,N,N,N,N,N,N,0.7
0500000US01117,"Shelby County, Alabama",5.8,77.1,12.5,0.4,1.9,0,0.1,0,2.2,100
0500000US01121,"Talladega County, Alabama",2.4,62.1,32.5,0.5,0.5,0,0,0.1,1.9,100
0500000US01125,"Tuscaloosa County, Alabama",4,60.7,32.8,0,1.7,0.1,0.1,0.1,0.6,100.1
0500000US01127,"Walker County, Alabama",2.6,N,N,N,N,N,N,N,N,2.6
0500000US02020,"Anchorage Municipality, Alaska",9.4,57,5.1,8.7,9,2.8,0.1,0.1,8,100.2
0500000US02090,"Fairbanks North Star Borough, Alaska",8.2,68.9,3.9,9.1,3.2,0.1,0.3,0.4,5.8,99.9
0500000US02170,"Matanuska-Susitna Borough, Alaska",5.2,78.6,1.6,7.3,1.6,0.2,0.1,0,5.6,100.2
0500000US04001,"Apache County, Arizona",6.6,18,1,73.1,0.2,0,0.3,0,0.8,100
0500000US04003,"Cochise County, Arizona",35.7,54.8,3.7,0.3,2.1,0.1,0,0,3.3,100
0500000US04005,"Coconino County, Arizona",14.3,54.1,0.9,25.4,1.9,0.3,0,0,3.1,100
0500000US04013,"Maricopa County, Arizona",31.4,54.3,5.5,1.7,4.2,0.2,0.2,0.1,2.4,100
0500000US04015,"Mohave County, Arizona",16.9,76.6,0.7,1.8,0.9,0.1,0,0.1,2.9,100
0500000US04017,"Navajo County, Arizona",11.5,41.5,0.9,44.2,0.1,0.1,0.1,0,1.6,100
0500000US04019,"Pima County, Arizona",37.8,51.1,3.3,2.4,2.8,0.2,0.1,0.1,2.3,100.1
0500000US04021,"Pinal County, Arizona",30.7,56,4.4,4.7,1.3,0.3,0.1,0,2.5,100
0500000US04025,"Yavapai County, Arizona",14.7,80,0.8,1.7,1,0,0.2,0,1.5,99.9
0500000US04027,"Yuma County, Arizona",64.6,30.1,1.3,1,1.1,0.1,0,0,1.7,99.9
0500000US05007,"Benton County, Arkansas",17.1,72.6,1.5,1.5,3.8,0.7,0,0.1,2.7,100
0500000US05031,"Craighead County, Arkansas",5.3,74.7,16.3,0.2,1.4,0,0.1,0.1,2,100.1
0500000US05045,"Faulkner County, Arkansas",4.2,79.9,12,0.2,1.1,0,0,0,2.6,100
0500000US05051,"Garland County, Arkansas",5.9,81.6,8.3,0.8,1,0,0.1,0,2.3,100
0500000US05069,"Jefferson County, Arkansas",1.7,N,N,N,N,N,N,N,N,1.7
0500000US05085,"Lonoke County, Arkansas",4.6,85.8,5.7,0.3,0.6,0.6,0,0,2.4,100
0500000US05119,"Pulaski County, Arkansas",6.2,51.5,37.3,0.3,2.2,0,0.2,0,2.3,100
0500000US05125,"Saline County, Arkansas",5.1,83.4,7.3,0.2,1.4,0,0,0,2.5,99.9
0500000US05131,"Sebastian County, Arkansas",14.8,68.7,7,0.7,4.4,0,0.3,0,4.2,100.1
0500000US05143,"Washington County, Arkansas",17.1,69.9,3.7,0.9,2.5,2.8,0.5,0.1,2.4,99.9
0500000US05145,"White County, Arkansas",4.4,87.7,5.7,1,0,0,0,0,1.1,99.9
