GEO_ID,NAME,S1501_C02_007E,S1501_C02_008E,
id,Geographic Area Name,Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",Below_Highschool
310M500US10140,"Aberdeen, WA Micro Area",3.6,4.4,8
310M500US10180,"Abilene, TX Metro Area",3.6,6.5,10.1
310M500US10300,"Adrian, MI Micro Area",2.5,7.3,9.8
310M500US10380,"Aguadilla-Isabela, PR Metro Area",20,9.1,29.1
310M500US10420,"Akron, OH Metro Area",2.3,5.4,7.7
310M500US10460,"Alamogordo, NM Micro Area",8.4,6.7,15.1
310M500US10500,"Albany, GA Metro Area",3.4,13.8,17.2
310M500US10540,"Albany-Lebanon, OR Metro Area",3.3,9,12.3
310M500US10580,"Albany-Schenectady-Troy, NY Metro Area",2.2,5.3,7.5
310M500US10700,"Albertville, AL Micro Area",6.8,11.1,17.9
310M500US10740,"Albuquerque, NM Metro Area",3.7,7,10.7
310M500US10780,"Alexandria, LA Metro Area",4.4,10.2,14.6
310M500US10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",3.3,5.8,9.1
310M500US11020,"Altoona, PA Metro Area",2.6,5.8,8.4
310M500US11100,"Amarillo, TX Metro Area",5.9,7.7,13.6
310M500US11180,"Ames, IA Metro Area",1,2.2,3.2
310M500US11260,"Anchorage, AK Metro Area",1.7,3.5,5.2
310M500US11460,"Ann Arbor, MI Metro Area",1.2,3.4,4.6
310M500US11500,"Anniston-Oxford, AL Metro Area",4.2,11.2,15.4
310M500US11540,"Appleton, WI Metro Area",1.7,3.9,5.6
310M500US11640,"Arecibo, PR Metro Area",14.6,6.5,21.1
310M500US11700,"Asheville, NC Metro Area",3.1,5.7,8.8
310M500US11780,"Ashtabula, OH Micro Area",3.8,8.1,11.9
310M500US11900,"Athens, OH Micro Area",2,5.2,7.2
310M500US11980,"Athens, TX Micro Area",4.4,14,18.4
310M500US12020,"Athens-Clarke County, GA Metro Area",2.8,7.5,10.3
310M500US12060,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",4,6.1,10.1
310M500US12100,"Atlantic City-Hammonton, NJ Metro Area",4.8,7.5,12.3
310M500US12180,"Auburn, NY Micro Area",4.5,8.3,12.8
310M500US12220,"Auburn-Opelika, AL Metro Area",3,5,8
310M500US12260,"Augusta-Richmond County, GA-SC Metro Area",3.4,7.4,10.8
310M500US12300,"Augusta-Waterville, ME Micro Area",2.3,4.4,6.7
310M500US12420,"Austin-Round Rock-Georgetown, TX Metro Area",5.1,4.5,9.6
310M500US12540,"Bakersfield, CA Metro Area",13,10.6,23.6
310M500US12580,"Baltimore-Columbia-Towson, MD Metro Area",2.7,5.7,8.4
310M500US12620,"Bangor, ME Metro Area",2.4,4.5,6.9
310M500US12700,"Barnstable Town, MA Metro Area",1.1,2.4,3.5
310M500US12940,"Baton Rouge, LA Metro Area",3.3,8.9,12.2
310M500US12980,"Battle Creek, MI Metro Area",2.2,7.2,9.4
310M500US13020,"Bay City, MI Metro Area",1.5,5.6,7.1
310M500US13140,"Beaumont-Port Arthur, TX Metro Area",5.9,8.4,14.3
310M500US13180,"Beaver Dam, WI Micro Area",2.8,7.5,10.3
310M500US13220,"Beckley, WV Metro Area",5.1,8.2,13.3
310M500US13380,"Bellingham, WA Metro Area",1.3,4.5,5.8
310M500US13460,"Bend, OR Metro Area",2.2,4.6,6.8
310M500US13740,"Billings, MT Metro Area",2,4.7,6.7
310M500US13780,"Binghamton, NY Metro Area",2.7,6.6,9.3
310M500US13820,"Birmingham-Hoover, AL Metro Area",3.2,7,10.2
310M500US13900,"Bismarck, ND Metro Area",3.5,2.7,6.2
310M500US13980,"Blacksburg-Christiansburg, VA Metro Area",2.2,5.2,7.4
310M500US14010,"Bloomington, IL Metro Area",2,3.5,5.5
310M500US14020,"Bloomington, IN Metro Area",1.8,4.9,6.7
310M500US14100,"Bloomsburg-Berwick, PA Metro Area",3,6.9,9.9
310M500US14140,"Bluefield, WV-VA Micro Area",6.6,10.6,17.2
310M500US14260,"Boise City, ID Metro Area",2.9,4.9,7.8
310M500US14460,"Boston-Cambridge-Newton, MA-NH Metro Area",4,3.8,7.8
310M500US14500,"Boulder, CO Metro Area",2.9,2.7,5.6
310M500US14540,"Bowling Green, KY Metro Area",6.9,6.2,13.1
310M500US14580,"Bozeman, MT Micro Area",0.9,1.3,2.2
310M500US14660,"Brainerd, MN Micro Area",0.9,4.2,5.1
310M500US14740,"Bremerton-Silverdale-Port Orchard, WA Metro Area",1.4,2.4,3.8
310M500US14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",5.4,4.4,9.8
310M500US15180,"Brownsville-Harlingen, TX Metro Area",18.2,13.5,31.7
310M500US15260,"Brunswick, GA Metro Area",3.3,10.4,13.7
310M500US15380,"Buffalo-Cheektowaga, NY Metro Area",2.4,4.8,7.2
310M500US15500,"Burlington, NC Metro Area",5.2,7.5,12.7
310M500US15540,"Burlington-South Burlington, VT Metro Area",3.1,4.1,7.2
310M500US15680,"California-Lexington Park, MD Metro Area",3,6.6,9.6
310M500US15940,"Canton-Massillon, OH Metro Area",2,6.4,8.4
310M500US15980,"Cape Coral-Fort Myers, FL Metro Area",4.7,6.2,10.9
310M500US16020,"Cape Girardeau, MO-IL Metro Area",2.2,7.9,10.1
310M500US16060,"Carbondale-Marion, IL Metro Area",2.3,6.5,8.8
310M500US16180,"Carson City, NV Metro Area",3,10.2,13.2
310M500US16220,"Casper, WY Metro Area",1.5,5.6,7.1
310M500US16300,"Cedar Rapids, IA Metro Area",1.8,4,5.8
310M500US16500,"Centralia, WA Micro Area",3.5,10.4,13.9
310M500US16540,"Chambersburg-Waynesboro, PA Metro Area",3.6,8.3,11.9
310M500US16580,"Champaign-Urbana, IL Metro Area",2.5,3.8,6.3
310M500US16620,"Charleston, WV Metro Area",3.8,7.7,11.5
310M500US16700,"Charleston-North Charleston, SC Metro Area",3,6.2,9.2
310M500US16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",4.1,6.1,10.2
310M500US16820,"Charlottesville, VA Metro Area",2.9,5.7,8.6
310M500US16860,"Chattanooga, TN-GA Metro Area",4,8.6,12.6
310M500US16940,"Cheyenne, WY Metro Area",2.4,3.2,5.6
310M500US16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",5.2,5.4,10.6
310M500US17020,"Chico, CA Metro Area",3.7,7.9,11.6
310M500US17060,"Chillicothe, OH Micro Area",2.7,7,9.7
310M500US17140,"Cincinnati, OH-KY-IN Metro Area",2.3,6.1,8.4
310M500US17220,"Clarksburg, WV Micro Area",2.3,9.3,11.6
310M500US17300,"Clarksville, TN-KY Metro Area",2.8,5.6,8.4
310M500US17340,"Clearlake, CA Micro Area",4.6,9.5,14.1
310M500US17420,"Cleveland, TN Metro Area",5.8,9.8,15.6
310M500US17460,"Cleveland-Elyria, OH Metro Area",2.8,6.4,9.2
310M500US17660,"Coeur d'Alene, ID Metro Area",1.2,5.2,6.4
310M500US17780,"College Station-Bryan, TX Metro Area",5.2,7.6,12.8
310M500US17820,"Colorado Springs, CO Metro Area",1.8,3,4.8
310M500US17860,"Columbia, MO Metro Area",2.6,4.6,7.2
310M500US17900,"Columbia, SC Metro Area",3.2,7.5,10.7
310M500US17980,"Columbus, GA-AL Metro Area",4.7,7.8,12.5
310M500US18020,"Columbus, IN Metro Area",4.5,4.6,9.1
310M500US18140,"Columbus, OH Metro Area",2.5,5.8,8.3
310M500US18180,"Concord, NH Micro Area",2,6,8
310M500US18260,"Cookeville, TN Micro Area",6.8,7.9,14.7
310M500US18300,"Coos Bay, OR Micro Area",1.9,8.4,10.3
310M500US18500,"Corning, NY Micro Area",2.7,5.9,8.6
310M500US18580,"Corpus Christi, TX Metro Area",7.3,8.7,16
310M500US18700,"Corvallis, OR Metro Area",0.9,1.8,2.7
