GEO_ID,NAME,Male_Population,Female_Population
0400000US01,Alabama,2369611,2533574
0400000US02,Alaska,380433,351112
0400000US04,Arizona,3620935,3657782
0400000US05,Arkansas,1474705,1543099
0400000US06,California,19640794,19871429
0400000US08,Colorado,2904955,2853781
0400000US09,Connecticut,1743777,1821510
0400000US10,Delaware,470288,503476
0400000US11,District of Columbia,334355,371394
0400000US12,Florida,10498005,10979732
0400000US13,Georgia,5170126,5447297
0400000US15,Hawaii,707855,708017
0400000US16,Idaho,898044,889021
0400000US17,Illinois,6217305,6454516
0400000US18,Indiana,3319907,3412312
0400000US19,Iowa,1570384,1584686
0400000US20,Kansas,1446287,1467027
0400000US21,Kentucky,2198205,2269468
0400000US22,Louisiana,2268202,2380592
0400000US23,Maine,656330,687882
0400000US24,Maryland,2928013,3117667
0400000US25,Massachusetts,3345556,3546947
0400000US26,Michigan,4915905,5070952
0400000US27,Minnesota,2804216,2835416
0400000US28,Mississippi,1434957,1541192
0400000US29,Missouri,3008169,3129259
0400000US30,Montana,537170,531608
0400000US31,Nebraska,966650,967758
0400000US32,Nevada,1544779,1535377
0400000US33,New Hampshire,672960,686751
0400000US34,New Jersey,4342591,4539599
0400000US35,New Mexico,1036708,1060121
0400000US36,New York,9450810,10002751
0400000US37,North Carolina,5094327,5393757
0400000US38,North Dakota,388339,373723
0400000US39,Ohio,5732207,5956893
0400000US40,Oklahoma,1962477,1994494
0400000US41,Oregon,2089676,2128061
0400000US42,Pennsylvania,6272527,6529462
0400000US44,Rhode Island,517221,542140
0400000US45,South Carolina,2485001,2663713
0400000US46,South Dakota,449458,435201
0400000US47,Tennessee,3329115,3500059
0400000US48,Texas,14385762,14610119
0400000US49,Utah,1610671,1595287
0400000US50,Vermont,309164,314825
0400000US51,Virginia,4201799,4333720
0400000US53,Washington,3807572,3807321
0400000US54,West Virginia,885861,906286
0400000US55,Wisconsin,2892804,2929630
0400000US56,Wyoming,296005,282754
0400000US72,Puerto Rico,1515994,1677700
